Comment,Designator,Footprint,LCSC
TestPoint,TP6,TestPoint_Pad_1.0x1.0mm_W_SOLDERMASK,
TestPoint,TP5,TestPoint_Pad_1.0x1.0mm_W_SOLDERMASK,
TestPoint,TP4,TestPoint_Pad_1.0x1.0mm_W_SOLDERMASK,
TestPoint,TP3,TestPoint_Pad_1.0x1.0mm_W_SOLDERMASK,
TestPoint,TP2,TestPoint_Pad_1.0x1.0mm_W_SOLDERMASK,
TestPoint,TP1,TestPoint_Pad_1.0x1.0mm_W_SOLDERMASK,
R,R4,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,
SW_Push,SW1,SW_PUSH_6mm,
LED,D6,LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder,
LED,D5,LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder,
LED,D4,LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder,
LED,D3,LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder,
LED,D2,LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder,
LED,D1,LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder,
10uf,C6,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,
AMS1117-3.3,U4,SOT-223-3_TabPin2,
WS2811,U3,SO-8_3.9x4.9mm_P1.27mm,
WS2811,U2,SO-8_3.9x4.9mm_P1.27mm,
~,U1,LQFP-32_7x7mm_P0.8mm,
R,R3,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,
R,R2,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,
R,R1,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,
USB_C_Receptacle_USB2.0_14P,J1,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,
10uf,C5,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,
10uf,C4,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,
10uf,C3,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,
10uf,C2,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,
10uf,C1,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,
